x,y,spatial_cluster
13158.1572265625,68.66758728027344,5
1965.3876953125,71.06553649902344,2
4447.125,63.531524658203125,1
5508.0439453125,68.3194580078125,1
7399.2744140625,65.54969787597656,2
8068.0625,65.37583923339844,2
8765.3955078125,84.38138580322266,2
10840.0126953125,71.65448760986328,5
13552.201171875,62.824466705322266,1
683.3914794921875,64.2208251953125,2
8252.126953125,66.50518798828125,4
8424.1064453125,69.54132843017578,1
8711.4208984375,55.208248138427734,2
10897.5205078125,75.90372467041016,5
1509.0662841796875,67.37069702148438,2
1865.2891845703125,88.2166976928711,2
2159.490234375,66.0764389038086,2
3710.729248046875,71.94526672363281,4
7063.67578125,63.60011291503906,2
14396.130859375,75.46661376953125,2
898.2578735351564,72.356201171875,2
939.285400390625,65.20417785644531,2
2809.20458984375,68.6279296875,2
5443.95458984375,55.9532585144043,2
6261.60205078125,70.8050765991211,4
10311.2529296875,94.09016418457033,4
12021.4833984375,75.63297271728516,5
12585.5576171875,74.55731201171875,5
614.7322998046875,69.48976135253906,2
1491.903564453125,56.071487426757805,2
5274.51025390625,77.95967864990233,4
8903.3466796875,64.64850616455078,1
9303.0185546875,73.70764923095702,1
14154.6298828125,71.37051391601562,1
14301.8125,63.01263046264648,2
1640.498291015625,54.51921844482422,2
2529.1181640625,89.55313873291016,2
3257.8037109375,71.38941192626953,4
6654.62255859375,88.04871368408203,4
13414.515625,88.57906341552734,1
13743.5087890625,71.73587036132812,2
550.27294921875,68.39974212646484,2
1784.9520263671875,54.688209533691406,2
7439.71044921875,66.82101440429688,2
11625.8330078125,80.13212585449219,5
13709.87109375,75.44049835205078,2
13772.7421875,75.87999725341797,2
2460.37255859375,64.08963012695312,2
2928.845458984375,82.37489318847656,2
3168.7177734375,74.41239929199219,2
5759.93701171875,74.2994155883789,2
8103.98388671875,68.83492279052734,4
8329.576171875,63.92564392089844,4
9078.0244140625,76.50965881347656,1
11151.517578125,66.02424621582031,5
653.67724609375,78.7762680053711,2
7318.29736328125,77.12555694580078,2
8831.0712890625,83.34208679199219,1
8985.2470703125,72.13043212890625,1
10792.48828125,85.50851440429688,5
11016.916015625,76.55955505371094,5
13105.2802734375,66.49883270263672,1
8134.59912109375,75.0519027709961,4
8503.8974609375,70.92478942871094,2
9269.431640625,75.06763458251953,1
9354.7861328125,74.97964477539062,4
10240.5625,84.41207885742188,2
11768.12109375,71.14099884033203,5
12903.693359375,71.16377258300781,5
14007.90625,88.02381134033203,1
11228.23828125,77.4680938720703,5
12683.6689453125,84.06953430175781,4
13623.875,68.77694702148438,2
